,batch,epoch,learning_rate,mse,correlation,pvalue
0,1,1,0.0001,0.04228861629962921,0.03128930785687226,0.04545308243506486
1,1,1,1e-05,0.04702787846326828,0.08337821205128532,9.363649184669015e-08
2,1,1,1e-06,0.06216154247522354,0.18330439692879488,3.200495245363938e-32
3,1,1,1e-07,0.10046034306287766,0.12286244043928607,3.196318946589772e-15
4,1,3,0.0001,0.036778900772333145,0.2619846864610965,3.869118323948489e-65
5,1,3,1e-05,0.0446145236492157,0.14438880142689614,1.732002418108146e-20
6,1,3,1e-06,0.048053640872240067,0.2355756103812127,1.15833620996847e-52
7,1,3,1e-07,0.08332406729459763,0.17185825195936338,1.8085187575208873e-28
8,1,5,0.0001,0.03788021579384804,0.13219169248278484,2.1261597859323118e-17
9,1,5,1e-05,0.040856849402189255,0.0823866533607926,1.327906944277292e-07
10,1,5,1e-06,0.05210089311003685,-0.060070690803292096,0.00012150775173478807
11,1,5,1e-07,0.06200652942061424,0.03214844268789073,0.039841088563471024
12,1,7,0.0001,0.037209562957286835,0.03758257090318796,0.01625902925208107
13,1,7,1e-05,0.04523814469575882,0.2974711132855675,2.6017214968192897e-84
14,1,7,1e-06,0.04822437837719917,0.08916456070647141,1.1258527893855152e-08
15,1,7,1e-07,0.08055654913187027,0.07253932851927374,3.43919377338285e-06
16,1,9,0.0001,0.03566595911979675,0.300736698273319,3.2134478413414956e-86
17,1,9,1e-05,0.03981254994869232,0.17606543905310493,8.08513226729934e-30
18,1,9,1e-06,0.049388837069272995,0.03454434681413257,0.02719817203356471
19,1,9,1e-07,0.08065461367368698,0.02888104459526924,0.06483395545278417
20,32,1,0.0001,0.06088830903172493,0.01899806286705134,0.22458502072691736
21,32,1,1e-05,0.09656272083520889,-0.015018050574660496,0.33706697502486016
22,32,1,1e-06,0.8002212047576904,-0.3611193984283356,3.633651955698605e-126
23,32,1,1e-07,0.1907854825258255,-0.17227093976043667,1.3379694138341642e-28
24,32,3,0.0001,0.04822750762104988,0.07916539197306478,4.019283411627181e-07
25,32,3,1e-05,0.08891749382019043,-0.22196546600486483,8.318620774420617e-47
26,32,3,1e-06,0.06755129992961884,0.03289271705042612,0.03546551125930514
27,32,3,1e-07,0.3633163571357727,0.2906591525026641,2.0723709693569633e-80
28,32,5,0.0001,0.04832090437412262,0.15786115843956977,3.184365794234342e-24
29,32,5,1e-05,0.05724180117249489,-0.009475387026991728,0.5447401586632459
30,32,5,1e-06,0.05751403793692589,0.022189612875878232,0.15604820644291498
31,32,5,1e-07,0.5736320614814758,-0.24147216917970224,2.551409347134797e-55
32,32,7,0.0001,0.04479097202420235,0.019615810489589946,0.20987022284489604
33,32,7,1e-05,0.05636400356888771,0.05821401540965887,0.00019603120136370164
34,32,7,1e-06,0.07496409863233566,0.19907860066564378,8.215176445355596e-38
35,32,7,1e-07,0.9890314340591431,-0.32764404081818704,6.623384681224412e-103
36,32,9,0.0001,0.043118320405483246,0.009778142267781445,0.5319622503180021
37,32,9,1e-05,0.0610312819480896,0.11063220734543085,1.3108112230753842e-12
38,32,9,1e-06,0.07196831703186035,0.07473187109015791,1.7235879789525075e-06
39,32,9,1e-07,0.21072369813919067,-0.08941920305702712,1.0224379809190688e-08
40,64,1,0.0001,0.05699345842003822,0.11612479103889956,9.500846449712018e-14
41,64,1,1e-05,0.12793895602226257,-0.10163186934289874,7.368080780527328e-11
42,64,1,1e-06,0.2764778435230255,0.22833775148750088,1.6823674641591877e-49
43,64,1,1e-07,3.2746992111206055,0.3893179599430327,4.67180684841129e-148
44,64,3,0.0001,0.04686015099287033,0.024664531675230177,0.11485413812162347
45,64,3,1e-05,0.07135463505983353,0.015657445340014804,0.3168980615947406
46,64,3,1e-06,0.163491889834404,-0.20031014509376552,2.867017136441306e-38
47,64,3,1e-07,5.048991680145264,-0.36357058595808905,5.534961213709915e-128
48,64,5,0.0001,0.04724562168121338,0.06955505897539238,8.53894598334248e-06
49,64,5,1e-05,0.08858724683523178,0.03870710785263515,0.01332342567279316
50,64,5,1e-06,0.07124960422515869,0.06810695658361655,1.3106717630325135e-05
51,64,5,1e-07,0.3099433183670044,0.1433818951303083,3.191881130984426e-20
52,64,7,0.0001,0.04295085743069649,0.1105186948838601,1.382033945380488e-12
53,64,7,1e-05,0.0628516897559166,0.16000895904962628,7.512935528534574e-25
54,64,7,1e-06,0.11872953921556473,-0.1460386352249774,6.301236920707909e-21
55,64,7,1e-07,0.8640486598014832,0.38071949252804343,3.771037919265441e-141
56,64,9,0.0001,0.04996432363986969,-0.01611490015418342,0.302964134017164
57,64,9,1e-05,0.059208694845438004,0.19678363983733335,5.734928608524876e-37
58,64,9,1e-06,0.10435537993907928,0.13429359201259264,6.5307029695888785e-18
59,64,9,1e-07,0.33710139989852905,-0.23768525371175578,1.3231091826025305e-53
60,128,1,0.0001,0.06822093576192856,0.1161838260035629,9.23026769608828e-14
61,128,1,1e-05,0.1393141895532608,-0.06258690723676098,6.218806380320773e-05
62,128,1,1e-06,2.0675597190856934,0.3930269627002303,4.223280305013166e-151
63,128,1,1e-07,2.1765084266662598,0.4107108187415462,3.673618247598351e-166
64,128,3,0.0001,0.04784538969397545,0.13619755098854755,2.2056723876883076e-18
65,128,3,1e-05,0.07596316188573837,-0.18216299414947001,7.776701625820999e-32
66,128,3,1e-06,0.8816129565238953,0.20951046107136098,8.831489742524086e-42
67,128,3,1e-07,0.4692551791667938,0.33603589499914793,1.8067612373808396e-108
68,128,5,0.0001,0.0484662689268589,0.11089556507829629,1.1591464768125762e-12
69,128,5,1e-05,0.10066436231136322,0.018697741827188787,0.2319990650051896
70,128,5,1e-06,0.18781568109989166,0.26931763262871683,7.184333315288952e-69
71,128,5,1e-07,0.8200220465660095,0.3864634081858731,9.672038840813096e-146
72,128,7,0.0001,0.04721243679523468,0.21304599071031352,3.559322798918002e-43
73,128,7,1e-05,0.07633882015943527,0.009715949900227696,0.5345746669765834
74,128,7,1e-06,0.29879671335220337,0.1788729806260472,9.727536632397927e-31
75,128,7,1e-07,0.2283429354429245,0.2730221638833451,8.440825441544758e-71
76,128,9,0.0001,0.05296637490391731,0.13379645614196553,8.648585145793411e-18
77,128,9,1e-05,0.052834223955869675,0.07253425908155783,3.444614711491785e-06
78,128,9,1e-06,0.1318061202764511,0.05696694084549887,0.0002682586141544623
79,128,9,1e-07,1.3774068355560303,-0.3124087137524038,3.03166094992168e-93
80,16404,1,0.0001,1.3084697723388672,0.40354198940964336,6.039895256750591e-160
81,16404,1,1e-05,0.6620304584503174,-0.23459448751810238,3.1540174354744123e-52
